palavra correta;palavra digitada;px;p1;p2;p3;p4;p1_lx;p1_l1;p1_l2;p1_l3;p1_l4
america;ameraca;5;7;11;48;55;camera;camera;camera;camera;camera
america;Amercia;20;1;103;73;81;mercia;america;mercia;mercia;mercia
american;ameracan;1;5;6;6;109;american;americana;camera;camera;camera
april;apirl;127;1;1313;8632;7797;pirl;april;pirl;pirl;pirl
austrian;austrain;10;1;95;76;87;claustra;austrian;strain;strain;strain
badcock's;badcock;0;0;0;0;0;bawcock;bawcock;bawcock;cock;woodcock
bechuanaland;bechuarnia_land;13805;1;1;1;1;northumberland;bechuanaland;bechuanaland;bechuanaland;bechuanaland
botswana;botuania;80;340;141;774;18392;lithuania;ouabain;bosnian;tuan;lithuania
cambridge;cambrige;1;3;1;4;4;cambridge;bregmatic;cambridge;cambria;cambria
canada;canda;6;1;15;354;22440;candida;canada;candida;scandal;scandal
chautauqua;chactuquoe;3;199;10;59;26146;cactuses;cartouche;character;actus;actus
chautauqua;Chalktwa;26133;3356;2280;1656;26148;chalkpit;catwalk;chalk;chalk;chalk
chautauqua;Chatacqua;7;1;5;153;26202;acquaint;chautauqua;attach;acquaint;acquaint
chautauqua;Chatacque;84;100;61;2368;26209;hacqueton;catechu;hacqueton;sacque;sacque
chautauqua;Chatalkwa;26109;461;636;2378;26242;thataway;catwalk;chalk;walkway;walkway
chautauqua;Chataqua;4;1;5;111;26152;aquanaut;chautauqua;aquatinta;aqua;aqua
chautauqua;Chataque;66;39;22;2133;26182;chateaux;chateau;chatta;chat;chat
chautauqua;Chataukowa;26100;72;20;65;26140;thataway;autorickshaw;chatta;chat;chat
chautauqua;Chataukwa;3;30;22;67;26140;thataway;awatch;chatta;chat;chat
chautauqua;Chatauwkwa;26098;30;20;72;26140;thataway;awatch;chatta;chat;chat
chautauqua;Chateau;26435;859;720;4176;26207;chateau;chateau;chateau;chateau;chateau
chautauqua;Chatocqua;6;65;34;83;26176;chatoyant;cachalot;quatch;atoc;chatoyant
chautauqua;Chatogua;26142;685;249;2033;26184;guacharo;guacharo;chat;chat;chatoyant
chautauqua;Chatoukouv;26095;522;3234;2049;26187;kurchatovium;kurchatovium;atokous;soukous;soukous
